  invoice_detail_id,mode,product_total,quantity,unit_selling_price,order_id,product_id
361,VIPPS,75,9,,,
362,BioPay,8,4,,,
363,Mobile wallet,50,3,,,
364,Internet Banking,80,9,,,
365,BioPay,32,1,,,
366,BioPay,78,2,,,
367,VIPPS,19,4,,,
368,Mobile wallet,89,4,,,
369,VIPPS,17,10,,,
370,VIPPS,4,9,,,
371,Mobile wallet,32,2,,,
372,VIPPS,12,2,,,
373,VIPPS,32,8,,,
374,Mobile wallet,81,1,,,
375,BioPay,31,9,,,
376,BioPay,32,8,,,
377,Mobile wallet,90,10,,,
378,BioPay,65,5,,,
379,VIPPS,43,1,,,
380,BioPay,45,6,,,
381,Mobile wallet,64,4,,,
382,Mobile wallet,27,4,,,
383,VIPPS,18,2,,,
384,Internet Banking,2,1,,,
385,BioPay,79,5,,,
386,Mobile wallet,70,1,,,
387,Mobile wallet,33,3,,,
388,Mobile wallet,28,6,,,
389,Mobile wallet,41,1,,,
390,BioPay,52,8,,,
391,Mobile wallet,44,2,,,
392,Internet Banking,28,6,,,
393,Internet Banking,98,3,,,
394,BioPay,79,8,,,
395,Internet Banking,20,6,,,
396,VIPPS,18,6,,,
397,Internet Banking,1,5,,,
398,VIPPS,75,9,,,
399,Internet Banking,65,3,,,
400,VIPPS,76,5,,,
401,Internet Banking,68,9,,,
402,BioPay,60,9,,,
403,Mobile wallet,95,2,,,
404,Mobile wallet,19,3,,,
405,Internet Banking,10,9,,,
406,BioPay,92,8,,,
407,VIPPS,4,4,,,
408,BioPay,3,1,,,
409,BioPay,58,1,,,
410,Internet Banking,60,4,,,
411,Internet Banking,20,4,,,
412,Mobile wallet,16,4,,,
413,Internet Banking,76,7,,,
414,Internet Banking,80,10,,,
415,Mobile wallet,70,8,,,
416,VIPPS,46,6,,,
417,BioPay,96,2,,,
418,Internet Banking,73,2,,,
419,BioPay,92,7,,,
420,VIPPS,95,2,,,
421,BioPay,49,8,,,
422,Mobile wallet,94,7,,,
423,Internet Banking,89,6,,,
424,BioPay,44,9,,,
425,Internet Banking,54,9,,,
426,Mobile wallet,51,4,,,
427,Internet Banking,45,5,,,
428,BioPay,70,5,,,
429,BioPay,13,1,,,
430,VIPPS,85,4,,,
431,Mobile wallet,2,7,,,
432,BioPay,39,7,,,
433,BioPay,80,7,,,
434,BioPay,63,7,,,
435,VIPPS,73,4,,,
436,Mobile wallet,82,6,,,
437,Mobile wallet,69,4,,,
438,Mobile wallet,75,9,,,
439,BioPay,25,3,,,
440,BioPay,76,6,,,
441,BioPay,47,2,,,
442,Internet Banking,29,8,,,
443,Mobile wallet,51,7,,,
444,VIPPS,49,1,,,
445,BioPay,72,9,,,
446,BioPay,70,6,,,
447,Internet Banking,94,8,,,
448,BioPay,75,9,,,
449,Internet Banking,45,9,,,
450,BioPay,7,3,,,
451,VIPPS,16,5,,,
452,BioPay,70,2,,,
453,Mobile wallet,31,4,,,
454,Internet Banking,49,1,,,
455,Mobile wallet,58,5,,,
456,VIPPS,89,9,,,
457,Mobile wallet,4,5,,,
458,VIPPS,44,2,,,
459,Internet Banking,55,7,,,
460,Internet Banking,66,10,,,
461,BioPay,82,5,,,
462,BioPay,36,10,,,
463,VIPPS,18,4,,,
464,Internet Banking,76,9,,,
465,Internet Banking,95,9,,,
466,BioPay,18,5,,,
467,Internet Banking,29,3,,,
468,VIPPS,6,10,,,
469,Internet Banking,25,1,,,
470,VIPPS,40,3,,,
471,Internet Banking,57,8,,,
472,Mobile wallet,51,5,,,
473,Internet Banking,53,5,,,
474,VIPPS,45,6,,,
475,Mobile wallet,15,8,,,
476,Mobile wallet,57,1,,,
477,Mobile wallet,66,2,,,
478,Internet Banking,90,7,,,
479,Mobile wallet,78,3,,,
480,Mobile wallet,89,3,,,
481,Mobile wallet,31,6,,,
482,BioPay,48,4,,,
483,VIPPS,56,5,,,
484,Internet Banking,37,1,,,
485,Mobile wallet,14,10,,,
486,VIPPS,34,6,,,
487,Mobile wallet,43,9,,,
488,Internet Banking,76,8,,,
489,BioPay,96,2,,,
490,Internet Banking,80,8,,,
491,VIPPS,37,8,,,
492,Mobile wallet,97,7,,,
493,BioPay,69,5,,,
494,Internet Banking,54,3,,,
495,Internet Banking,34,5,,,
496,VIPPS,18,5,,,
497,Internet Banking,16,10,,,
498,Internet Banking,5,6,,,
499,VIPPS,89,3,,,
500,BioPay,66,1,,,
501,BioPay,64,10,,,
502,VIPPS,56,1,,,
503,BioPay,75,9,,,
504,Internet Banking,17,4,,,
505,Mobile wallet,86,7,,,
506,Internet Banking,13,3,,,
507,Internet Banking,68,2,,,
508,Mobile wallet,56,9,,,
509,VIPPS,70,7,,,
510,VIPPS,91,5,,,
511,Internet Banking,35,9,,,
512,Internet Banking,58,10,,,
513,Internet Banking,55,6,,,
514,VIPPS,60,7,,,
515,Internet Banking,35,6,,,
516,BioPay,2,7,,,
517,BioPay,38,10,,,
518,VIPPS,74,10,,,
519,VIPPS,55,4,,,
520,Mobile wallet,94,6,,,
521,Mobile wallet,96,6,,,
522,BioPay,50,10,,,
523,VIPPS,22,5,,,
524,BioPay,1,6,,,
525,BioPay,71,8,,,
526,Internet Banking,85,9,,,
527,BioPay,87,8,,,
528,Internet Banking,80,8,,,
529,Internet Banking,43,10,,,
530,BioPay,77,6,,,
531,VIPPS,80,5,,,
532,Mobile wallet,11,3,,,
533,Mobile wallet,79,3,,,
534,VIPPS,33,8,,,
535,BioPay,14,5,,,
536,BioPay,83,6,,,
537,Mobile wallet,54,7,,,
538,BioPay,98,5,,,
539,Internet Banking,21,8,,,
540,VIPPS,26,1,,,
541,Mobile wallet,89,2,,,
542,BioPay,57,3,,,
543,Mobile wallet,48,2,,,
544,VIPPS,29,6,,,
545,Internet Banking,68,6,,,
546,VIPPS,24,5,,,
547,Mobile wallet,70,10,,,
548,VIPPS,59,9,,,
549,BioPay,87,2,,,
550,VIPPS,35,1,,,
551,BioPay,72,6,,,
552,Mobile wallet,44,5,,,
553,VIPPS,20,8,,,
554,VIPPS,44,2,,,
555,VIPPS,75,1,,,
556,Mobile wallet,4,7,,,
557,Mobile wallet,99,1,,,
558,BioPay,74,2,,,
559,VIPPS,94,7,,,
560,BioPay,48,8,,,
561,VIPPS,95,4,,,
562,Internet Banking,65,4,,,
563,VIPPS,98,2,,,
564,Mobile wallet,87,4,,,
565,Internet Banking,78,3,,,
566,VIPPS,47,1,,,
567,Internet Banking,5,1,,,
568,BioPay,50,9,,,
569,Mobile wallet,35,7,,,
570,Internet Banking,47,1,,,
571,BioPay,30,4,,,
572,Mobile wallet,97,9,,,
573,BioPay,86,4,,,
574,BioPay,67,6,,,
575,VIPPS,50,10,,,
576,BioPay,39,10,,,
577,VIPPS,62,4,,,
578,VIPPS,74,1,,,
579,Internet Banking,31,2,,,
580,Mobile wallet,94,10,,,
581,VIPPS,48,1,,,
582,Mobile wallet,3,3,,,
583,Mobile wallet,98,9,,,
584,Mobile wallet,65,9,,,
585,VIPPS,2,6,,,
586,Internet Banking,7,2,,,
587,Mobile wallet,33,4,,,
588,Mobile wallet,67,1,,,
589,BioPay,27,1,,,
590,VIPPS,6,8,,,
591,Internet Banking,86,3,,,
592,Internet Banking,23,5,,,
593,Mobile wallet,53,9,,,
594,Mobile wallet,36,3,,,
595,BioPay,62,1,,,
596,Internet Banking,89,8,,,
597,Mobile wallet,59,8,,,
598,BioPay,43,9,,,
599,Mobile wallet,18,2,,,
600,Mobile wallet,80,9,,,
601,VIPPS,36,8,,,
602,VIPPS,57,5,,,
603,Mobile wallet,65,5,,,
604,Internet Banking,15,7,,,
605,VIPPS,57,10,,,
606,Internet Banking,20,1,,,
607,VIPPS,38,2,,,
608,Mobile wallet,27,8,,,
609,Internet Banking,40,3,,,
610,Internet Banking,6,7,,,
611,Internet Banking,51,3,,,
612,VIPPS,92,10,,,
613,BioPay,68,9,,,
614,BioPay,36,3,,,
615,Internet Banking,73,9,,,
616,Internet Banking,89,3,,,
617,BioPay,45,5,,,
618,Internet Banking,95,5,,,
619,Mobile wallet,73,8,,,
620,Internet Banking,57,5,,,
621,BioPay,58,6,,,
622,VIPPS,9,4,,,
623,Internet Banking,45,5,,,
624,BioPay,46,1,,,
625,Mobile wallet,60,1,,,
626,VIPPS,85,6,,,
627,VIPPS,56,4,,,
628,Mobile wallet,93,9,,,
629,VIPPS,70,6,,,
630,Internet Banking,34,9,,,
631,Internet Banking,33,8,,,
632,BioPay,39,8,,,
633,VIPPS,39,3,,,
634,Mobile wallet,36,3,,,
635,BioPay,41,3,,,
636,Mobile wallet,95,2,,,
637,VIPPS,91,1,,,
638,VIPPS,63,6,,,
639,VIPPS,79,2,,,
640,Internet Banking,38,4,,,
641,BioPay,91,7,,,
642,BioPay,27,6,,,
643,BioPay,45,9,,,
644,Mobile wallet,58,1,,,
645,Mobile wallet,56,6,,,
646,Mobile wallet,25,8,,,
647,Internet Banking,40,10,,,
648,Internet Banking,18,8,,,
649,Mobile wallet,12,9,,,
650,Mobile wallet,55,10,,,
651,VIPPS,18,5,,,
652,BioPay,11,4,,,
653,Mobile wallet,67,6,,,
654,VIPPS,47,4,,,
655,Mobile wallet,27,4,,,
656,VIPPS,89,8,,,
657,BioPay,13,6,,,
658,BioPay,41,3,,,
659,BioPay,17,9,,,
660,Internet Banking,30,1,,,
661,BioPay,99,5,,,
662,Mobile wallet,16,7,,,
663,Internet Banking,22,1,,,
664,Mobile wallet,65,1,,,
665,BioPay,88,3,,,
666,VIPPS,50,1,,,
667,VIPPS,61,8,,,
668,VIPPS,80,10,,,
669,VIPPS,79,6,,,
670,Internet Banking,25,6,,,
671,Mobile wallet,9,3,,,
672,Internet Banking,3,1,,,
673,Mobile wallet,69,3,,,
674,Mobile wallet,57,2,,,
675,Internet Banking,50,1,,,
676,BioPay,74,6,,,
677,BioPay,37,9,,,
678,BioPay,82,6,,,
679,BioPay,76,10,,,
680,Mobile wallet,60,9,,,
681,Internet Banking,31,2,,,
682,VIPPS,24,3,,,
683,BioPay,1,9,,,
684,VIPPS,97,6,,,
685,VIPPS,74,5,,,
686,BioPay,42,5,,,
687,Mobile wallet,29,1,,,
688,VIPPS,59,9,,,
689,VIPPS,12,6,,,
690,Mobile wallet,68,8,,,
691,BioPay,80,6,,,
692,VIPPS,13,3,,,
693,Mobile wallet,31,6,,,
694,BioPay,30,6,,,
695,VIPPS,80,3,,,
696,Mobile wallet,100,1,,,
697,BioPay,59,6,,,
698,BioPay,71,10,,,
699,Mobile wallet,92,4,,,
700,Mobile wallet,24,3,,,
701,Mobile wallet,9,4,,,
702,BioPay,22,1,,,
703,VIPPS,94,5,,,
704,Mobile wallet,73,3,,,
705,Internet Banking,56,8,,,
706,VIPPS,65,7,,,
707,Internet Banking,83,9,,,
708,BioPay,62,10,,,
709,Mobile wallet,16,7,,,
710,BioPay,26,7,,,
711,VIPPS,33,5,,,
712,BioPay,54,6,,,
713,Internet Banking,67,9,,,
714,VIPPS,91,3,,,
715,VIPPS,65,3,,,
716,BioPay,78,7,,,
717,BioPay,30,9,,,
718,Mobile wallet,12,3,,,
719,Internet Banking,77,5,,,
720,Mobile wallet,99,6,,,
721,Mobile wallet,35,5,,,
722,BioPay,6,2,,,
723,BioPay,60,8,,,
724,BioPay,98,2,,,
725,Mobile wallet,28,7,,,
726,Mobile wallet,27,4,,,
727,Internet Banking,16,10,,,
728,Internet Banking,62,1,,,
729,BioPay,52,9,,,
730,Internet Banking,2,6,,,
731,Internet Banking,39,6,,,
732,BioPay,12,2,,,
733,BioPay,90,10,,,
734,Internet Banking,18,5,,,
735,Internet Banking,37,2,,,
736,VIPPS,61,6,,,
737,VIPPS,4,9,,,
738,BioPay,41,3,,,
739,VIPPS,70,1,,,
740,Internet Banking,5,5,,,
741,Mobile wallet,93,4,,,
742,Internet Banking,59,2,,,
743,BioPay,17,4,,,
744,BioPay,4,8,,,
745,Internet Banking,74,4,,,
746,Internet Banking,98,6,,,
747,Mobile wallet,1,4,,,
748,VIPPS,62,2,,,
749,VIPPS,26,7,,,
750,VIPPS,56,2,,,
751,BioPay,84,5,,,
752,Internet Banking,74,9,,,
753,BioPay,9,3,,,
754,Internet Banking,66,5,,,
755,BioPay,56,5,,,
756,Mobile wallet,32,5,,,
757,BioPay,59,1,,,
758,BioPay,96,8,,,
759,VIPPS,80,1,,,
760,BioPay,62,4,,,
761,VIPPS,62,9,,,
762,BioPay,6,7,,,
763,VIPPS,99,8,,,
764,Internet Banking,13,9,,,
765,BioPay,47,6,,,
766,VIPPS,76,9,,,
767,VIPPS,46,2,,,
768,Internet Banking,24,5,,,
769,Mobile wallet,35,10,,,
770,BioPay,4,1,,,
771,Internet Banking,8,5,,,
772,Mobile wallet,90,2,,,
773,VIPPS,98,2,,,
774,VIPPS,87,2,,,
775,BioPay,61,9,,,
776,Mobile wallet,2,7,,,
777,VIPPS,99,10,,,
778,Mobile wallet,94,6,,,
779,Internet Banking,8,1,,,
780,Mobile wallet,75,1,,,
781,VIPPS,61,7,,,
782,BioPay,68,10,,,
783,Mobile wallet,48,5,,,
784,BioPay,75,1,,,
785,BioPay,36,5,,,
786,VIPPS,17,3,,,
787,BioPay,72,9,,,
788,BioPay,84,6,,,
789,Mobile wallet,32,6,,,
790,VIPPS,87,6,,,
791,Mobile wallet,86,1,,,
792,Mobile wallet,79,2,,,
793,VIPPS,78,9,,,
794,BioPay,44,1,,,
795,BioPay,47,4,,,
796,VIPPS,27,10,,,
797,BioPay,76,9,,,
798,Mobile wallet,80,5,,,
799,Internet Banking,41,6,,,
800,BioPay,100,4,,,
801,Mobile wallet,22,6,,,
802,Internet Banking,39,10,,,
803,BioPay,74,10,,,
804,Mobile wallet,10,8,,,
805,VIPPS,81,3,,,
806,VIPPS,84,7,,,
807,Internet Banking,69,7,,,
808,VIPPS,82,9,,,
809,Internet Banking,34,2,,,
810,BioPay,14,6,,,
811,Internet Banking,9,8,,,
812,VIPPS,47,10,,,
813,Mobile wallet,45,9,,,
814,BioPay,29,6,,,
815,Internet Banking,69,2,,,
816,VIPPS,30,5,,,
817,BioPay,96,5,,,
818,VIPPS,25,5,,,
819,Internet Banking,92,10,,,
820,Mobile wallet,72,8,,,
821,BioPay,52,2,,,
822,Mobile wallet,96,8,,,
823,Mobile wallet,33,8,,,
824,VIPPS,61,4,,,
825,VIPPS,52,5,,,
826,Mobile wallet,35,1,,,
827,VIPPS,85,6,,,
828,Internet Banking,7,4,,,
829,Mobile wallet,79,7,,,
830,VIPPS,39,6,,,
831,BioPay,34,2,,,
832,Mobile wallet,34,10,,,
833,BioPay,28,10,,,
834,Mobile wallet,26,1,,,
835,Mobile wallet,51,5,,,
836,Mobile wallet,98,5,,,
837,BioPay,75,2,,,
838,BioPay,53,1,,,
839,BioPay,77,7,,,
840,BioPay,68,2,,,
841,BioPay,67,10,,,
842,Internet Banking,62,9,,,
843,Mobile wallet,71,9,,,
844,Internet Banking,32,7,,,
845,BioPay,26,9,,,
846,Mobile wallet,94,1,,,
847,Internet Banking,98,9,,,
848,Mobile wallet,3,2,,,
849,Mobile wallet,14,3,,,
850,Mobile wallet,69,8,,,
851,Mobile wallet,21,9,,,
852,Internet Banking,69,8,,,
853,Mobile wallet,99,3,,,
854,BioPay,98,9,,,
855,Internet Banking,80,1,,,
856,VIPPS,70,8,,,
857,VIPPS,89,3,,,
858,Mobile wallet,11,4,,,
859,VIPPS,12,8,,,
860,BioPay,72,4,,,
861,Internet Banking,4,4,,,
862,Internet Banking,70,1,,,
863,Mobile wallet,27,2,,,
864,Internet Banking,96,1,,,
865,Internet Banking,60,5,,,
866,Internet Banking,27,10,,,
867,Mobile wallet,5,5,,,
868,Mobile wallet,34,1,,,
869,VIPPS,81,6,,,
870,VIPPS,84,7,,,
871,BioPay,43,10,,,
872,Mobile wallet,30,1,,,
873,Internet Banking,86,7,,,
874,Mobile wallet,72,2,,,
875,BioPay,71,6,,,
876,Internet Banking,19,5,,,
877,BioPay,83,5,,,
878,Internet Banking,58,10,,,
879,VIPPS,6,8,,,
880,Internet Banking,67,5,,,
881,Mobile wallet,88,3,,,
882,BioPay,68,7,,,
883,VIPPS,95,6,,,
884,VIPPS,10,3,,,
885,VIPPS,91,5,,,
886,BioPay,93,1,,,
887,BioPay,34,9,,,
888,VIPPS,61,8,,,
889,Mobile wallet,60,10,,,
890,Mobile wallet,69,8,,,
891,Internet Banking,37,3,,,
892,Internet Banking,75,10,,,
893,BioPay,8,2,,,
894,VIPPS,70,10,,,
895,BioPay,3,7,,,
896,BioPay,6,9,,,
897,Mobile wallet,78,3,,,
898,Mobile wallet,49,10,,,
