inventory_price_id,offer_description,offer_percent,offer_quantity,offers,unit_price,order_id,inventory_id,offer_expiry_date
27,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,1.22,,No,53.44,27,27,12/22/2019
28,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,24.53,,Yes,51.6,28,28,8/22/2019
29,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,38.04,,Yes,47.51,29,29,12/28/2019
30,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,26.13,,Yes,77.51,30,30,9/17/2019
31,eget nunc donec quis orci eget orci vehicula condimentum curabitur in,51.42,,No,31.91,31,31,10/22/2019
32,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,19.61,,No,48.61,32,32,12/3/2019
33,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,39.22,,No,47.87,33,33,8/31/2019
34,aenean sit amet justo morbi ut odio cras mi pede,35.33,,Yes,62.61,34,34,10/17/2019
35,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,43.35,,Yes,54.4,35,35,12/9/2019
36,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,37.92,,No,54.25,36,36,5/2/2019
37,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,29.35,,No,61.57,37,37,11/5/2019
38,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,43.57,,Yes,55.46,38,38,12/14/2019
39,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,72.9,,Yes,27.05,39,39,7/9/2019
40,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,36.39,,No,34.0,40,40,7/16/2019
41,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,26.7,,Yes,54.1,41,41,10/4/2019
42,elit ac nulla sed vel enim sit amet nunc viverra,8.22,,No,58.49,42,42,12/7/2019
43,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,40.98,,No,46.99,43,43,5/4/2019
44,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,18.28,,No,29.93,44,44,9/20/2019
45,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,37.94,,No,57.48,45,45,6/13/2019
46,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,75.96,,Yes,41.49,46,46,9/19/2019
47,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,2.32,,No,40.09,47,47,12/19/2019
48,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,31.71,,Yes,52.55,48,48,5/15/2019
49,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,72.65,,Yes,35.45,49,49,8/24/2019
50,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,55.33,,No,50.0,50,50,9/18/2019
51,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,78.8,,No,38.95,51,51,5/18/2019
52,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,19.1,,Yes,45.85,52,52,8/15/2019
53,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,44.23,,Yes,47.91,53,53,8/6/2019
54,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,51.43,,Yes,35.53,54,54,10/9/2019
55,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,48.8,,No,56.54,55,55,7/10/2019
56,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,6.27,,Yes,51.46,56,56,7/26/2019
57,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,32.61,,No,59.45,57,57,12/17/2019
58,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,58.77,,Yes,63.29,58,58,10/13/2019
59,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,44.19,,Yes,53.3,59,59,11/19/2019
60,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,44.8,,No,39.29,60,60,6/28/2019
61,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,56.02,,No,48.66,61,61,7/23/2019
62,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,3.74,,Yes,28.78,62,62,10/27/2019
63,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,5.45,,No,40.35,63,63,8/10/2019
64,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,34.33,,Yes,49.56,64,64,8/27/2019
65,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,51.11,,No,63.58,65,65,5/24/2019
66,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,32.35,,Yes,55.96,66,66,6/28/2019
67,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,13.61,,Yes,49.9,67,67,11/15/2019
68,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,22.28,,Yes,42.49,68,68,9/14/2019
69,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,43.67,,Yes,40.13,69,69,5/8/2019
70,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,50.42,,Yes,57.96,70,70,5/17/2019
71,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,17.34,,Yes,47.58,71,71,12/1/2019
72,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,27.6,,No,53.12,72,72,11/16/2019
73,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,36.4,,No,57.46,73,73,9/22/2019
74,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,14.86,,Yes,62.05,74,74,10/24/2019
75,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,40.96,,No,67.68,75,75,5/3/2019
76,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,45.76,,No,33.38,76,76,7/1/2019
77,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,11.4,,No,47.02,77,77,5/21/2019
78,vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,41.89,,Yes,43.63,78,78,8/8/2019
79,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,25.25,,No,36.48,79,79,8/4/2019
80,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,47.27,,Yes,49.64,80,80,8/1/2019
81,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,36.88,,Yes,50.22,81,81,9/9/2019
82,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,46.12,,No,41.25,82,82,10/28/2019
83,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,25.1,,Yes,65.04,83,83,7/10/2019
84,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,73.75,,No,50.06,84,84,11/26/2019
85,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,11.14,,No,44.16,85,85,11/23/2019
86,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,49.75,,No,32.13,86,86,9/28/2019
87,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,61.72,,No,43.06,87,87,10/23/2019
88,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,8.04,,Yes,40.86,88,88,6/16/2019
89,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,63.47,,No,48.71,89,89,7/12/2019
90,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,27.03,,No,68.09,90,90,5/16/2019
91,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,40.51,,Yes,39.11,91,91,8/18/2019
92,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,49.62,,Yes,42.4,92,92,11/7/2019
93,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,33.38,,No,38.61,93,93,11/13/2019
94,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,42.4,,No,40.66,94,94,11/4/2019
95,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,13.24,,No,54.98,95,95,7/4/2019
96,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,66.57,,Yes,54.89,96,96,7/5/2019
97,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,63.66,,No,44.89,97,97,6/13/2019
98,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,42.82,,No,41.15,98,98,6/23/2019
99,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,11.15,,Yes,41.35,99,99,7/4/2019
100,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,49.25,,No,39.19,100,100,10/22/2019
101,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,26.55,,No,59.93,101,101,9/2/2019
102,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,70.07,,No,43.14,102,102,10/9/2019
103,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,30.4,,No,35.18,103,103,6/12/2019
104,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,3.25,,Yes,42.67,104,104,7/2/2019
105,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,28.77,,No,47.63,105,105,5/2/2019
106,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,54.13,,Yes,69.93,106,106,5/12/2019
107,erat id mauris vulputate elementum nullam varius nulla facilisi cras non,56.67,,Yes,60.34,107,107,7/26/2019
108,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,17.13,,No,54.64,108,108,10/23/2019
109,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,53.21,,No,60.14,109,109,12/15/2019
110,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,65.88,,No,44.79,110,110,5/14/2019
111,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,50.77,,Yes,59.13,111,111,5/9/2019
112,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,76.4,,Yes,46.51,112,112,6/1/2019
113,ut dolor morbi vel lectus in quam fringilla rhoncus mauris,70.71,,Yes,36.7,113,113,9/8/2019
114,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,50.49,,Yes,55.64,114,114,5/15/2019
115,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,70.49,,Yes,48.68,115,115,5/3/2019
116,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,10.14,,Yes,47.83,116,116,10/26/2019
117,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,17.77,,No,29.38,117,117,10/22/2019
118,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,45.49,,Yes,35.33,118,118,10/8/2019
119,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,31.14,,Yes,48.43,119,119,11/3/2019
120,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,4.31,,No,52.49,120,120,8/13/2019
121,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,49.5,,Yes,65.19,121,121,12/17/2019
122,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,65.7,,Yes,53.34,122,122,5/7/2019
123,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,43.73,,No,31.31,123,123,7/22/2019
124,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,53.24,,No,48.9,124,124,7/30/2019
125,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,11.58,,Yes,49.61,125,125,5/28/2019
126,dui maecenas tristique est et tempus semper est quam pharetra,63.59,,No,53.51,126,126,10/14/2019
127,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,18.65,,Yes,43.44,127,127,12/9/2019
128,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,49.31,,Yes,46.23,128,128,9/28/2019
129,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,57.25,,Yes,58.36,129,129,8/12/2019
130,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,76.55,,No,39.79,130,130,9/26/2019
131,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,33.6,,Yes,52.09,131,131,5/24/2019
132,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,8.42,,No,44.23,132,132,5/24/2019
133,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,14.87,,Yes,44.35,133,133,11/7/2019
134,tortor id nulla ultrices aliquet maecenas leo odio condimentum id,67.24,,Yes,54.83,134,134,5/10/2019
135,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,0.54,,No,47.3,135,135,8/22/2019
136,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,32.44,,Yes,51.46,136,136,12/15/2019
137,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,73.59,,Yes,31.56,137,137,8/22/2019
138,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,13.86,,Yes,62.99,138,138,6/18/2019
139,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,19.39,,No,53.89,139,139,5/28/2019
140,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,4.17,,Yes,50.55,140,140,12/12/2019
141,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,45.29,,No,65.28,141,141,9/13/2019
142,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,36.52,,Yes,58.69,142,142,8/13/2019
143,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,3.21,,No,55.2,143,143,7/11/2019
144,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,38.55,,Yes,42.44,144,144,8/12/2019
145,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,43.79,,No,29.14,145,145,5/2/2019
146,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,15.75,,Yes,53.17,146,146,6/4/2019
147,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,26.76,,Yes,47.39,147,147,6/16/2019
148,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,72.92,,Yes,48.15,148,148,6/9/2019
149,tempus vivamus in felis eu sapien cursus vestibulum proin eu,71.89,,No,37.87,149,149,9/27/2019
150,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,0.37,,Yes,59.24,150,150,6/24/2019
151,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,1.7,,Yes,53.3,151,151,12/3/2019
152,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,59.59,,No,49.95,152,152,9/8/2019
153,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,39.93,,No,48.69,153,153,11/4/2019
154,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,31.83,,Yes,64.15,154,154,12/23/2019
155,ipsum integer a nibh in quis justo maecenas rhoncus aliquam,6.51,,No,40.84,155,155,6/18/2019
156,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,46.02,,Yes,40.59,156,156,9/22/2019
157,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,39.45,,No,72.52,157,157,10/23/2019
158,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,18.95,,Yes,46.85,158,158,11/19/2019
159,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,55.47,,No,52.66,159,159,6/11/2019
160,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,11.82,,Yes,40.5,160,160,7/29/2019
161,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,26.32,,Yes,49.06,161,161,5/2/2019
162,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,60.6,,Yes,63.71,162,162,5/8/2019
163,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,34.76,,Yes,73.3,163,163,9/3/2019
164,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,29.36,,Yes,46.29,164,164,7/25/2019
165,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,4.58,,No,32.37,165,165,6/5/2019
166,mi nulla ac enim in tempor turpis nec euismod scelerisque,34.82,,No,49.58,166,166,7/10/2019
167,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,49.77,,Yes,62.24,167,167,10/11/2019
168,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,29.81,,Yes,45.38,168,168,7/16/2019
169,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,29.12,,No,53.97,169,169,11/1/2019
170,amet cursus id turpis integer aliquet massa id lobortis convallis tortor,73.26,,Yes,43.24,170,170,6/18/2019
171,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,25.24,,Yes,34.02,171,171,7/13/2019
172,pede justo eu massa donec dapibus duis at velit eu est,57.31,,Yes,52.06,172,172,10/24/2019
173,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,47.96,,No,47.59,173,173,12/27/2019
174,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,31.26,,No,64.09,174,174,7/15/2019
175,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,11.57,,No,60.57,175,175,12/7/2019
176,ultricies eu nibh quisque id justo sit amet sapien dignissim,36.36,,No,52.69,176,176,11/14/2019
177,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,65.42,,Yes,50.69,177,177,5/27/2019
178,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,79.96,,No,46.71,178,178,8/3/2019
179,eget massa tempor convallis nulla neque libero convallis eget eleifend,46.79,,No,42.87,179,179,5/17/2019
180,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,49.11,,Yes,38.41,180,180,12/13/2019
181,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,29.94,,Yes,56.13,181,181,12/27/2019
182,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,14.11,,Yes,73.47,182,182,12/5/2019
183,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,10.11,,Yes,56.92,183,183,6/6/2019
184,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,22.41,,No,47.17,184,184,7/13/2019
185,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,10.83,,Yes,49.94,185,185,12/27/2019
186,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,7.92,,Yes,68.63,186,186,7/20/2019
187,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,9.36,,Yes,33.3,187,187,6/14/2019
188,et tempus semper est quam pharetra magna ac consequat metus sapien ut,69.74,,No,38.13,188,188,5/20/2019
189,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,76.06,,Yes,57.75,189,189,6/27/2019
190,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,39.1,,No,61.23,190,190,5/13/2019
191,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,61.3,,Yes,57.58,191,191,8/31/2019
192,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,60.07,,Yes,49.43,192,192,7/24/2019
193,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,24.73,,No,55.42,193,193,12/17/2019
194,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,11.29,,No,41.02,194,194,7/17/2019
195,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,12.22,,No,66.0,195,195,10/15/2019
196,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,52.82,,No,48.89,196,196,9/20/2019
197,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,70.97,,Yes,51.95,197,197,10/31/2019
198,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,10.23,,No,60.81,198,198,8/18/2019
199,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,69.73,,No,50.08,199,199,10/21/2019
200,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,12.6,,Yes,45.68,200,200,10/27/2019
201,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,21.06,,No,46.15,201,201,6/24/2019
202,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,45.23,,No,42.8,202,202,6/29/2019
203,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,14.15,,No,55.62,203,203,5/11/2019
204,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,47.23,,No,40.94,204,204,12/15/2019
205,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,28.22,,No,54.2,205,205,5/6/2019
206,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,48.32,,No,31.96,206,206,11/13/2019
207,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,12.19,,Yes,54.55,207,207,11/15/2019
