inventory_id,aisle_number,expiry_date,manufactured_date,quantity,row_number,sku,product_id,store_id
49,K,11/11/2019,12/7/2018,88,7,1BqFDmxkEG33edhbVqp5vqSCxk6S8qWeP8,235,98
50,P,7/23/2019,6/5/2018,51,9,1NentnwRtFwVpFp37uHwKLBY3cq2u2aGuP,273,15
51,D,10/16/2019,10/23/2018,96,7,14E3jKxvrxVr8g9KZWUqq9oenzsidDYDrS,835,70
52,C,7/5/2019,6/16/2018,88,2,1QCaLGqroiiQpCfrp2DqdeNkNua4sr3uQw,887,88
53,N,9/15/2019,4/28/2019,96,10,16ySg1HSmK35tnJbfmZ8mCsDHp4UxkLkpa,516,33
54,G,7/5/2019,6/20/2018,37,9,1E3GxqsMW1uAM1WpvfRmj3rYBXVnxg7a2g,187,61
55,J,6/11/2019,9/9/2018,50,3,1EpW2MkTP8cDu32PtyTcdRyosQmLLrquxa,103,89
56,O,9/26/2019,1/25/2019,20,8,1EyYaGibAGpwaqq2VBsRN1v2edBbXxDTFJ,991,46
57,A,11/7/2019,3/28/2019,51,8,1EHfQcM7uv9JRoFFNUnQSyJJifWqSU6w8M,618,82
58,N,8/26/2019,4/17/2019,26,3,13o3FbtPVJkoyJyBjaSz5ncT5oAegfcdL9,59,6
59,C,6/9/2019,8/6/2018,81,6,14x6daNDzH1bRddJRN4Rw9JmcqLrhdS3Zj,572,92
60,P,9/21/2019,3/10/2019,99,4,1K4tQYj864hgxivvHs5ReVPaJ9sV6mcCks,354,74
61,A,10/25/2019,2/6/2019,92,8,1EnWY6HYDGz3QGrRsSHpyDhVemXQo8g6rZ,89,22
62,L,6/17/2019,8/28/2018,73,4,1GZLLR2R7ZQjKxf3rirPQfSWiNmN4bK3qz,487,77
63,O,8/13/2019,4/4/2019,77,4,1MKevWNLDuR9g3uFmGwDBQqXdBxzRtCKmb,731,22
64,F,10/11/2019,2/6/2019,34,10,14NF2hDXNJU4qeTAhzTWU5PmRomiWNnBHs,630,73
65,O,6/15/2019,12/28/2018,97,6,1KACZxG6gEhZtYRujRWZWBEZcjzXQJvRjT,412,18
66,A,7/10/2019,4/24/2019,62,3,1PR4KWLKMsdMF713frjpLnXmZsZYf2HZAo,609,24
67,O,8/27/2019,11/27/2018,69,7,1JVukGTFHTPHRxgKw2vtrRKvXwjXhDkHXB,298,15
68,G,8/19/2019,3/16/2019,95,6,1EQRj1izAws68WurkgPdZY9JF1HGUhsiwy,878,16
69,D,10/29/2019,10/3/2018,47,8,17y42DkPCnVUxSQUCDESnDFdZ7mj9Dpxk7,980,38
70,M,10/28/2019,2/20/2019,28,8,1CUM1WTm1gzSnivv8fFKttaZ4SfbRxUyYC,75,83
71,J,6/17/2019,8/7/2018,82,7,1M51LAMWshRafNfetLguSJS5DAtPZ6bTtY,843,79
72,O,6/7/2019,12/14/2018,23,10,1P1W866s1E1YkUX6dVzY9J2JayDpNbHziy,198,79
73,C,11/3/2019,12/2/2018,87,5,12mmirc3486aUNz1aqDgKCe98fiAHpEaU2,862,84
74,D,9/10/2019,4/8/2019,62,2,16Z7VtHgTUS5ZiB2Hp1hWRjwN6cFh72Rxc,177,44
75,E,8/22/2019,5/22/2018,12,8,19TjzvHFNQF3WgJK5MR9aWPwRjx8ygRPo,486,61
76,A,8/20/2019,10/10/2018,3,9,1KhQcsvWnRw4Ch2K8iSQeSXc7vAVsHbvuJ,101,36
77,G,7/27/2019,2/26/2019,10,4,127X49QmPz2izPqaxh9RuXzSwFTKzdzSsp,107,87
78,K,7/23/2019,5/5/2018,90,3,12nzm25VAQBPzgs8K8czFMfs7NWBLXRSY5,91,78
79,G,8/13/2019,12/2/2018,73,9,1B5FdXtw6Pun8yVXMNpyzkN3DGvWJ3qs62,969,40
80,F,11/2/2019,5/3/2018,24,9,1PLN77K1qGqwAGxM8rsk74FZpgApKhszu5,254,18
81,D,11/22/2019,10/4/2018,4,7,1LeCygbQvVvLw5VZsFc57QnYFzCnncHdZg,172,77
82,I,11/13/2019,6/22/2018,77,10,1MUieYJ4u76xco143HRh1osrvZtSsiEbAW,254,53
83,B,11/29/2019,8/12/2018,48,3,1Po9biU8LxRZeWAy5zWEUz1FWHs4icbjNp,99,76
84,I,7/3/2019,8/8/2018,73,3,1HdwpyWBnCEzoWxfeEKMCMiPEBR2wB96wV,148,65
85,F,9/30/2019,10/8/2018,17,3,15NqSdKVyHEnnnxzhekmeaQ57kRUMWbPjt,962,87
86,A,8/10/2019,6/8/2018,73,7,18rqwRzXqS6BV79NZCm9xW1ypWqUJfKFRp,322,28
87,D,7/3/2019,3/7/2019,3,8,1NQLi1BZGoj5HYDvvvh3dZedQaScmHzNTR,596,88
88,P,10/10/2019,3/13/2019,14,9,16u9x17qLLpLteHGezhgDEHLMBn4NnxFLP,559,80
89,C,8/21/2019,12/12/2018,89,9,1KUJD2HG1E8Ytr4nhPBqJpWFvYRHomGj4Y,860,72
90,P,9/22/2019,12/27/2018,96,5,1BvM3DwbhFQok1Vr8Cg5JnxNbY18tAz6Pa,606,41
91,G,11/13/2019,3/24/2019,38,10,1CSgqkqnWX5eRxhCHt16QzuMXrjS5RzBJd,493,65
92,I,8/27/2019,4/30/2019,37,3,19uFd5fXNbe6cNa7ko8iHqom3M57SyMCdM,848,44
93,N,8/8/2019,6/4/2018,31,10,12XZkRoVBspiPWx8pYbZzRunqRvzBUpti9,685,26
94,L,6/5/2019,1/21/2019,27,2,1J6scZHGEQWUYGnS2iZ9jbP1yWXgVbGsDh,634,63
95,J,10/17/2019,10/18/2018,15,10,14i7q2Dj4X3oPDaKLcSzCcepQXD9dFWcEp,202,42
96,C,6/14/2019,12/9/2018,52,9,18rw3n1BxY23HiRmiChwTtFtvjUKBcK4NJ,83,71
97,F,10/1/2019,4/16/2019,24,6,14U1swrEZ5dGTEVAZLcWi2AbCTKaogqLwN,454,20
98,M,10/20/2019,2/22/2019,84,6,16JkzHuohvUhh1DZ8kFb4UK35bKbkazEq1,184,73
99,J,11/26/2019,3/2/2019,57,8,15FZ5YqRtKZo8WLWarR3Q8uWTRxVQ1nvL5,664,19
100,C,7/15/2019,6/21/2018,63,9,1Q8UnbmufUstwujkkkhpaQz91x5VGDFpbD,216,60
101,N,6/19/2019,6/6/2018,85,2,13ATR4VXZzLZDLf4ZF89eazSHZoB7bwZDm,726,58
102,A,7/18/2019,2/13/2019,51,4,18gVuQoTVtAPgUtx1agGSzncx6g8KrFY3j,873,81
103,G,9/3/2019,9/12/2018,46,1,1MiHk2jsUzPCLGBYT17iEnzBXrSPSNSkzp,762,57
104,P,9/22/2019,6/22/2018,51,3,1H4fEumG5dbTWGU5sdEL2bmwd9iv2hwSuD,277,27
105,L,9/9/2019,1/29/2019,61,5,1GaLcpCxZE9gvJD3kSgq4nJJ6fbUjAP3RA,428,93
106,P,8/19/2019,5/18/2018,61,8,1MJMuPVHeZmMKP8RnomPzR6gCZ99JGPuqK,349,15
107,L,9/7/2019,3/23/2019,26,6,13Ek8Exq5r4tjiBmTbiMpzNCaE9eRC6K5G,544,11
108,P,6/29/2019,12/3/2018,77,2,1432VBVLkZ3cjaBbm6eHXQk7j7ScP1FPhk,626,98
109,L,10/1/2019,8/19/2018,31,5,1J16pLCxqC6FuzxoCFUiZXBbyGUEoV2tJc,201,34
110,A,10/2/2019,11/20/2018,33,3,1LmxxgYMjAWY3fgvWc3fcFaAmSkQHZUchu,578,18
111,P,8/25/2019,4/9/2019,82,8,1BdDSBWiescdToBF1jgj7MJKpjCVgtxXQn,225,72
112,M,6/27/2019,6/4/2018,98,3,1AGhgFt7XBxgrnaQFEdJQtiMJoMXMhNXNy,274,69
113,F,6/22/2019,8/18/2018,39,2,1ANJpGAbeNFz61YZoftWjv4KXo1oxoKMP1,453,88
114,A,9/13/2019,12/20/2018,36,1,1DNvmfr3eBaLrAbstpvjarEeFBDdPn2isy,222,55
115,O,10/10/2019,4/23/2019,86,8,1Ec4vzRdyg9YWm5xrGCz91pmYHj3ES8o8o,400,52
116,N,6/29/2019,11/29/2018,24,6,1EGgVNcFta2QpQUnNtQpz6xaxdcwzTfmwZ,810,16
117,M,9/2/2019,9/6/2018,10,1,19YaYzD4evtpXjQUwRkwHwdeShCnhgfzCW,505,78
118,N,8/7/2019,7/19/2018,91,8,1EpxvAcxcYpfKu7j6Yi2S12agpVbPSsH7E,346,82
119,E,7/28/2019,11/17/2018,91,3,14WSL1VmynSPW8CMkpSCiwYtTXh74nMz99,10,61
120,H,7/17/2019,9/3/2018,64,4,1PaqxWKX8XbaGkwmWEQW79Sy4JaLpRK2on,428,6
121,G,7/27/2019,3/22/2019,94,10,1Bo3kr5SpFkwKuk2nHy9XfMHAd6HyjE2pD,182,51
122,J,6/24/2019,5/3/2018,45,1,1Djb537rs2r83nupHUcQxbSccS4CkW5Qkp,588,32
123,A,7/7/2019,3/7/2019,20,5,13JKehuG6wCzA29fuRT6HfNCtJ9N8mUKA9,736,25
124,H,6/12/2019,1/3/2019,19,5,19WLwkFbKh7F2tScXvndprcy2SUtDNdPHG,969,97
125,A,10/25/2019,6/30/2018,80,10,1GhVcxntr8eomvB9mYYiFuucXWg4eHQRsZ,396,55
126,L,10/30/2019,6/8/2018,69,5,1FkZoyTk2P6RzN2NyuYfb4ThLQwtSZN1rS,269,2
127,A,6/13/2019,12/28/2018,66,7,1BYwARGwZ5ahwn9sgbzkyKaThS4f9u1e38,610,79
128,F,6/5/2019,4/29/2019,6,9,1Ah1kt5Uw2p3gKHxEPEcZ77G7SGqGnmPke,436,93
129,N,7/27/2019,12/3/2018,23,9,1CovtpjbRNeoDpyaBjNobuuy5Um2PpZosh,912,68
130,O,9/30/2019,8/19/2018,20,10,1DdpmHN5QRzrU2YCfYy7CqmroeVFPWRasp,644,86
131,A,11/19/2019,4/24/2019,28,3,15ovag1bJJtBvYap3zVUJcwq6ADBqCmXB8,99,14
132,H,6/30/2019,4/24/2019,7,7,168qotBCrKVecVqtyh8NLYECKQoYUVknC9,288,91
133,L,9/28/2019,12/28/2018,6,10,12tqKWfY15RE4W8Hb4PHf9iYqB9XkLVk8J,260,69
134,B,9/13/2019,12/9/2018,68,5,1BF1fMsdR5X5ytYLgzthpCbHmqUbWZKDqR,127,7
135,B,7/22/2019,8/29/2018,65,6,163hQGh5PFDVSaWwhZ9VT6vrwBnp2UigqJ,582,10
136,E,10/11/2019,4/11/2019,100,2,1MQt9815JZXPyiqMXXEeFx21V9EVkFi1F2,805,84
137,J,6/15/2019,11/18/2018,29,1,14Ba48QRXhRASo1v39rKxFRFDAzHs3vnWF,987,22
138,D,10/17/2019,9/17/2018,12,7,14cfYJKx2DpQfx6qeEtRRNe9ehJc3tk4a6,368,89
139,A,8/15/2019,4/17/2019,6,1,1Na7xJ14JtNtmTjFDWawkifp7DfSp7RniX,133,36
140,P,7/7/2019,1/2/2019,11,9,1J9LpoQNp8KceD5nuirv1SDRRQWggbDTZv,189,79
141,K,9/3/2019,1/30/2019,10,7,1MiT8cWyqcK1wEVBZyTm5depJYRUEe4nWf,264,97
142,G,6/12/2019,10/22/2018,84,1,1FVcKzPeKxP336dZaBCiahkf5VKTuUKJCy,86,52
143,F,7/30/2019,8/14/2018,20,7,1ATNXLR1tZqiSmYyvhuFF1FmERrfBHxyfA,982,97
144,F,9/17/2019,1/21/2019,34,6,1FcLbMZEjkSBzrN8jR33FuVPP7azJUfQ26,785,35
145,P,8/7/2019,7/10/2018,85,3,1ETQwS2KUYpik3jv8So5dYeAvihGdFwD4m,35,3
146,H,9/22/2019,11/10/2018,39,2,12SgjfGGAsb3t2Fe9noU7iwTPWpEWWs4CG,850,12
147,J,7/29/2019,2/10/2019,34,6,1AzPcHRkWM1JaZxavZcNqaocPREBsaErFG,77,53
148,P,10/8/2019,2/15/2019,37,5,1KLSkBrxrGh1UeGkjLaPM6cV3XpJHzRPpJ,765,84
149,F,9/10/2019,1/5/2019,43,4,1E5fSEfT3F1EsyGVGbaYtPNmSLLNohkLHL,404,36
150,B,9/28/2019,9/17/2018,66,1,1Q8KqcnXufSz9B5zMwgez4PX8aAREtmhmH,39,9
151,F,7/6/2019,9/30/2018,71,10,1B28feDVCeJRGndF3iJJBXM1woVfLq2T51,971,42
152,O,10/29/2019,3/29/2019,48,1,1BAxJgJy3oprcx7YKc3DPEkSvn7z1gRQzR,232,86
153,E,9/26/2019,11/7/2018,29,3,1KcyJCu8o8QrnJczshpkZatjQVz5G9CPXS,706,20
154,D,10/22/2019,5/11/2018,84,7,1AgumNWKbNxyLCcedmHZVj7tCjZeAcjZMR,572,38
155,D,9/13/2019,9/13/2018,85,6,1bZ1W7ks5AeB7FmQb863FHW95BsEfkUun,700,64
156,H,6/18/2019,3/16/2019,94,6,16ktnLamnFpqjhUpMWBN35kntASETv1vDC,718,61
157,A,7/2/2019,5/27/2018,24,6,18EUQ3znVokELR2nxeAVkrXfPfeLTEB3co,983,9
158,J,11/12/2019,3/8/2019,8,4,1CmjY1dqEDvwVyGAhHjew4uN2eLxLfbN5,635,10
159,I,10/7/2019,4/3/2019,47,8,14NYL5hqWnowwTXLT7EpJkuAz8p57hPGtr,621,62
160,A,10/18/2019,9/29/2018,72,1,1G6Erhb7dFJ1Lwh4wRAc3RLNxmeAVTSCYt,182,29
161,N,7/14/2019,1/14/2019,25,6,16qqe9agGjGENSunwDaGQK5qDKpsmJF6Qn,789,34
162,F,11/8/2019,11/20/2018,14,6,1BWHjZ1aGm8n1mZ1nY9FHfL13LXq4BKSur,195,70
163,E,8/17/2019,6/30/2018,1,10,1EjsWoudkcpc5zb9fHKU9gkqzHoEg4ZSu8,145,23
164,O,6/11/2019,5/6/2018,82,8,1FJC4ysRjcNWSn5XHCfPjxBwuTXm8XVYQZ,599,57
165,A,7/9/2019,12/28/2018,27,9,1Kyt1a1L3Eft8N54p9P5SkRKDdwBQ4xvGP,801,25
166,C,10/11/2019,1/7/2019,11,3,1CS8RuLezgTv4wvEygVALVZktw2pMbvn6Z,359,70
167,E,7/21/2019,6/17/2018,50,5,1HTYXGstN4fnF9BjSEtV2PP3TiSawVuukL,163,97
168,H,8/31/2019,7/24/2018,66,5,12cyEg9nWL2SZCM2YtRthDmgHndqSseKtP,482,16
169,E,11/29/2019,12/21/2018,39,4,1AfwSv55iFhG9soXzfKSYquPsPSTnFrnq9,517,71
170,O,8/19/2019,8/4/2018,69,8,18kFMUZn3Brz75idDnWa2vxQyfyHomCoFX,697,15
171,P,9/10/2019,9/10/2018,77,3,1691mo1Dv6oFbs1SFoGFKbEHZUhZ9b222E,234,86
172,H,8/19/2019,2/4/2019,61,10,1Lv4jSNdw1BPUV3seVWR42mfquL65Qocci,468,89
173,F,6/18/2019,1/19/2019,4,10,1PFRPJGUichf1237BEKbRy3YWdFZvRBY8f,574,85
174,I,9/6/2019,8/29/2018,67,1,1C9s3tDR7ynXtoDoQWiYibvVn3FLG6we85,349,84
175,H,6/10/2019,3/11/2019,40,8,1H8qJdhbg6GAdWvVR4icfrF92v6fdWBVFz,389,66
176,D,6/27/2019,11/15/2018,44,5,1JuGroXdoaU2QFbpErqPXKq5BFCSDFqpL,875,69
177,D,7/29/2019,12/23/2018,66,10,126AH1THBrPL3qhcMczGXR4ZhP6iTvMA96,816,50
178,E,11/23/2019,7/11/2018,65,3,1GLW88xQSwyne4PWZTGKqcbayDiuCPnY58,434,61
179,D,11/26/2019,2/16/2019,88,1,19CYXv9Vbw6sqFUcQGwZSP13niKd1wmkDY,528,28
180,K,10/5/2019,1/9/2019,72,3,15DyaiAD9o5arqpvhBwHGvp5FnXURxz9q3,275,59
181,A,9/20/2019,7/17/2018,87,7,18g5VRU7JgX7D3XzTKerA7iqg2ogDCdRiH,767,40
182,O,8/9/2019,8/2/2018,31,7,16ftfFCR6kPPtUsmrYYrvszEDika67Dt9S,280,53
183,M,6/7/2019,9/29/2018,91,7,1PNM4TFrCtrBzHRf3ZyuiQbpVbmdQ7T34C,749,81
184,O,11/20/2019,9/12/2018,57,7,16zQhRKNu8VFQXskcLriwqVFBzx1U3jP11,852,53
185,M,6/29/2019,6/26/2018,40,6,1H8yBKBb5UaJdMtoMVkihNDM8of3zMGLjv,131,2
186,J,11/9/2019,9/12/2018,8,5,1JAqheUNzYVs5h5cqfp8RB38cJPQtpwa4z,354,13
187,M,7/24/2019,12/21/2018,25,8,124qcESzbst3uGd9Pc4qhv3DMJiwd4Hxz7,364,26
188,P,10/29/2019,3/17/2019,36,2,1L66TEcj9GWR2R63d5ftVoS1mvuV71MjQV,307,38
189,A,8/15/2019,11/6/2018,99,4,1P3y1yH566oahF6Fh6oEqzEETZs53uKqsE,78,62
190,J,8/25/2019,9/14/2018,26,4,185XZimayE2NDZbS6QR4vjRpygi367fSuW,458,25
191,J,11/12/2019,6/25/2018,27,9,139UGgFfGt9BCwyeYXZHx1NbbxCGRTzMot,918,46
192,E,10/16/2019,9/30/2018,27,2,1ENAUBVEvYUx3o6Z22tecVYwdxDpmQtqc3,537,96
193,L,6/15/2019,3/28/2019,46,4,1EkEN1JZS2LND88xZ7wjq2p9PsbwdmwhVs,68,8
194,G,9/21/2019,6/21/2018,17,6,1EsEc2Vucvozg6N4xJ4zH8VhjD86A9PG9a,349,83
195,K,11/8/2019,12/8/2018,57,4,1KmWFSCpPXeBEVVZMF1PEeGYxicBgVqKC7,689,72
196,L,6/25/2019,4/18/2019,87,8,1PvsNoBpZsKVZHDp1Gv2C3qbEsVtbuzwzo,527,47
197,B,8/4/2019,1/13/2019,85,7,1B9AGxbkc33DJRbcbD4ouPnbU41eGKufec,850,45
198,A,8/7/2019,2/11/2019,18,9,19LU1BJw8zYmgNY23zXv1sPXYSCJqBQE7k,373,79
199,H,6/10/2019,3/18/2019,30,4,1JTGh23UwwBN9GmrZCr6wiH6dnGU7UJ1sY,704,13
200,P,11/3/2019,10/13/2018,14,6,1N5KhPL9Nmo4YW1fzVffSfRk1dFu3cGS1m,12,76
201,P,10/19/2019,11/12/2018,47,4,14mcQn1iamcoHY1ddgYgnw2GuCE3VQLMbe,377,34
202,I,9/16/2019,1/9/2019,100,10,1Hb8MGytRuFHN8pZiwPBMJE6uWTRsD2fnB,303,32
203,J,6/13/2019,3/12/2019,2,1,1Kk2hTrE18rpytEgTatUNEAF7epJ8sFVNi,528,98
204,A,10/9/2019,11/24/2018,72,1,12XkEBVioNEmG6cfyhG7afM1QKuEMmKwir,255,94
205,I,11/22/2019,6/6/2018,39,1,1FS9Si83uxQNpJ1dVVbBio1Y9vgW7eUohM,674,60
206,D,8/23/2019,7/27/2018,26,8,1LpeL8HYTusu21cZXU6GA2Pri2CxxH9xXL,508,7
207,N,6/10/2019,2/7/2019,13,2,14EaKdAibqeWDfTmHnfigggNZK37RtCwTL,445,19
208,L,6/26/2019,4/22/2019,2,3,1AyR7ZS3Q84wk8spit96eRtt6tHpGni4Rj,700,53
209,L,10/26/2019,7/8/2018,81,9,1QKzmnnuwcGXWhW1vCzRH17kTgGzBvzJBZ,636,82
210,P,6/20/2019,4/16/2019,26,3,18aCgWsNkqiNoHmtA5Sprb8rFcyzrg4AoW,594,70
211,H,7/4/2019,7/24/2018,76,10,166z11mLwm2ZykfwDV13Xa8vX3WZhud3GZ,947,32
212,D,6/28/2019,6/6/2018,75,4,1HebLwALXwggY7PtiM1jJU1Rt1LzueNssD,372,60
213,D,7/5/2019,8/20/2018,3,8,15BHmx2F1rdfmo18pE294gtNae1qj8AxQZ,30,90
214,I,6/5/2019,11/1/2018,31,10,1CPJ8gSPddrREw1wvQ9FELTkwHEwXcxavE,174,88
215,A,8/22/2019,5/9/2018,55,3,172sSp1r7z5XJmJz7sV5jKifzUnHtfvGPz,330,20
216,M,7/14/2019,9/20/2018,44,10,1CT6HeuKa4bxbYiTqWHVv8dT8zhDyouBmW,677,74
217,M,6/11/2019,7/25/2018,32,5,1uyTjtGXHUgtkJA2ZaEeMRtF4F8V1QkyV,697,57
218,G,6/25/2019,6/16/2018,23,7,1AeT5HkCUb5N28XuBYhDPYKnZUrLJNPxFE,99,82
219,O,7/28/2019,2/19/2019,42,1,1ACQA7EkfWJiH9MjPFhoFhbisqsqAkbfKa,406,11
220,F,8/22/2019,3/21/2019,54,2,12oC5F7tEk3P53XPKhvjwnWpHVTGB5dtFb,587,98
221,G,8/13/2019,3/28/2019,13,9,1J4FErFjPKyfv6LNB7CmPnocRuwQHqW8Uj,882,23
222,A,9/28/2019,10/7/2018,14,1,1CqJfFZWQzV3Zm8piQQMcPM833p2Vtzctt,731,12
223,L,11/8/2019,11/6/2018,52,2,18K6QVQfYqnYKTAW5SxnTRKkH43vfdrNEL,708,88
224,M,10/5/2019,2/21/2019,44,8,19J9z8jLNUhsamCAwmwJ1H8R3ZgUPctD6e,367,30
225,N,6/10/2019,3/28/2019,78,3,1HcBLM5Ldy71WLRVWRHGVNG7iySiFsTpX8,39,7
226,J,10/22/2019,2/21/2019,92,8,1FNr7x7a4MoUNsWKQJsn6b5MkPvNESBQGw,749,40
227,N,6/12/2019,3/13/2019,96,6,15BfSwUFM884aKBtgpAszxjrSNXBWmiMCa,14,19
228,N,6/26/2019,7/25/2018,72,2,14o1YNkYhwta1m8MM9kehqQ2xMB36CuCPo,530,54
229,C,11/3/2019,10/13/2018,14,9,18TuNbGJzYLmXaXq9WuiApUYaR4Y2zaMba,94,81
230,M,9/18/2019,5/7/2018,18,5,1CG59F89kFZqGdXqj4nk2zdrnpcUt8osd3,977,66
231,B,7/11/2019,7/22/2018,70,6,1NBETFjtBDRHCgoNhehZn9mBXMyy8GsV4N,257,50
232,E,6/7/2019,5/22/2018,74,1,1LGc5Epuc3JWz23R6bDNG7pn1dWDBHPfyd,10,90
233,G,7/8/2019,2/15/2019,89,8,1u4q4xgYaFXZJUPLnWFJcc1FMuugcksxK,853,100
234,C,7/2/2019,11/24/2018,46,9,1KwtS7qNRLR7sTY3NhD7Dxg9WQFkfXg5A9,403,65
235,B,6/21/2019,6/11/2018,86,8,1KR1whZtt4M7XcUm7ZxQPyUigjHW9JmnuH,371,41
